permalink,name,homepage_url,category_code,funding_total_usd,status,country_code,state_code,region,city,funding_rounds,founded_at,founded_month,founded_quarter,founded_year,first_funding_at,last_funding_at,last_milestone_at,id
"/company/aboutus-org",AboutUs.org,http://www.aboutus.org,web,2500000.0,operating,USA,OR,Portland,Portland,1.0,1/1/06," 2006-01 ",2006-Q1,2006.0,1/9/09,1/9/09,12/16/11,286
"/company/above-all-software",Above All Software,,software,2100000.0,operating,USA,CA,SF Bay,Redwood City,1.0,1/1/02," 2002-01 ",2002-Q1,2002.0,6/1/05,6/1/05,,287
"/company/above-security",Above Security,http://www.abovesecurity.com,security,2500000.0,operating,CAN,,Boisbriand,Boisbriand,1.0,6/1/99," 1999-06 ",1999-Q2,1999.0,9/1/04,9/1/04,4/26/10,288
"/company/abpathfinder",ABPathfinder,http://www.abpathfinder.com,health,960000.0,operating,USA,KS,Kansas City,Overland Park,2.0,6/1/10," 2010-06 ",2010-Q2,2010.0,12/5/12,11/25/13,6/1/12,289
"/company/abs",ABS,http://advbiosurf.com,medical,132500.0,operating,USA,MN,Minneapolis,Minnetonka,1.0,1/1/09," 2009-01 ",2009-Q1,2009.0,9/19/12,9/19/12,7/25/13,290
"/company/iphase3",Absio,http://absio.com,software,2757346.0,operating,USA,CO,Denver,Highlands Ranch,3.0,3/1/09," 2009-03 ",2009-Q1,2009.0,5/6/10,2/12/13,,291
"/company/absmaterials",ABSMaterials,http://www.absmaterials.com,cleantech,4000000.0,operating,USA,OH,Wooster,Wooster,1.0,1/1/08," 2008-01 ",2008-Q1,2008.0,11/24/13,11/24/13,,292
"/company/absolicon-solar-concentrator",Absolicon Solar Concentrator,http://www.absolicon.com,cleantech,661000.0,operating,SWE,,Harnosand,Harnosand,1.0,1/1/07," 2007-01 ",2007-Q1,2007.0,5/12/10,5/12/10,,293
"/company/absolutdata",AbsolutData,http://www.absolutdata.com,analytics,2.0E7,operating,USA,CA,SF Bay,Alameda,1.0,,,,,8/23/12,8/23/12,,294
"/company/absynth-biologics",Absynth Biologics,http://absynthbiologics.co.uk,biotech,1287964.0,operating,GBR,,Sheffield,Sheffield,1.0,1/1/07," 2007-01 ",2007-Q1,2007.0,7/18/13,7/18/13,5/1/08,295
"/company/abt-molecular-imaging",ABT Molecular Imaging,http://advancedbiomarker.com,medical,2.0064818E7,operating,USA,TN,Knoxville,Knoxville,6.0,1/1/06," 2006-01 ",2006-Q1,2006.0,1/21/10,12/6/13,2/1/13,296
"/company/abundance-generation",Abundance Generation,http://abundancegeneration.com,finance,4545754.0,operating,GBR,,London,London,1.0,1/1/09," 2009-01 ",2009-Q1,2009.0,8/12/13,8/12/13,10/1/11,297
