ID,Location,Track,Week,Rating (Num),Schedule Pacing,Year
1332,Santa Clara,Games,7,10,3,2017
1333,Santa Clara,Games,7,5,3,2017
1334,San Francisco,Apps,7,7,3,2017
1335,San Francisco,Apps,7,5,3,2017
1336,Los Angeles,Apps,7,9,3,2017
1337,San Francisco,Apps,7,9,3,2017
1338,Los Angeles,Apps,7,6,3,2017
1339,San Francisco,"Apps, Explorer",7,10,3,2017
1340,Santa Clara,Apps,7,9,3,2017
1341,San Francisco,Apps,7,6,3,2017
1342,San Francisco,Apps,7,10,3,2017
1343,Los Angeles,Apps,7,9,3,2017
1344,San Francisco,Apps,7,9,3,2017
1345,Los Angeles,Games,7,9,3,2017
1346,San Francisco,"Apps, Explorer",7,9,3,2017
1347,Los Angeles,Games,7,8,3,2017
1348,San Francisco,Apps,7,8,3,2017
1349,San Francisco,Apps,7,8,3,2017
1350,Santa Clara,Games,7,10,3,2017
1351,Santa Clara,Apps,7,8,4,2017
1352,San Francisco,Games,7,9,2,2017
1353,San Francisco,Apps,7,10,3,2017
1354,San Francisco,Apps,7,10,3,2017
1355,San Francisco,"Apps, Explorer",7,10,3,2017
1357,New York City,Apps,5,2,3,2017
1358,San Francisco,Apps,7,10,3,2017
1359,Beijing,Apps,3,10,3,2017
1360,Oakland,Apps,6,8,4,2017
1361,New York City,Apps,5,8,3,2017
1362,San Francisco,Apps,7,10,3,2017
1363,Oakland,Apps,7,8,3,2017
1364,Beijing,Apps,3,8,4,2017
1365,Beijing,Apps,3,10,3,2017
1366,Beijing,Apps,3,10,3,2017
1367,Beijing,Apps,3,10,3,2017
1369,New York City,Games,5,8,3,2017
1370,Tokyo,Apps,2,10,2,2017
1371,Santa Clara,Apps,7,9,3,2017
1372,Santa Clara,Apps,7,9,3,2017
1373,Beijing,Apps,3,10,3,2017
1374,New York City,Games,5,9,3,2017
1375,New York City,Apps,5,9,3,2017
1376,Tokyo,Apps,2,7,2,2017
1377,New York City,Apps,5,7,3,2017
1378,New York City,Apps,5,8,3,2017
1380,New York City,Apps,5,7,3,2017
1381,New York City,Apps,5,9,3,2017
